
2025/01/16 (18:50:28) | ===> btop++ v.1.4.0
2025/01/16 (18:50:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (15:24:56) | ===> btop++ v.1.4.0
2025/01/17 (15:24:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (14:58:17) | ===> btop++ v.1.4.0
2025/01/18 (14:58:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (20:01:02) | ===> btop++ v.1.4.0
2025/01/18 (20:01:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (20:11:30) | ===> btop++ v.1.4.0
2025/01/18 (20:11:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/20 (11:56:01) | ===> btop++ v.1.4.0
2025/01/20 (11:56:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/30 (04:06:06) | ===> btop++ v.1.4.0
2025/01/30 (04:06:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/03 (19:44:05) | ===> btop++ v.1.4.0
2025/02/03 (19:44:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/05 (20:12:21) | ===> btop++ v.1.4.0
2025/02/05 (20:12:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (09:43:14) | ===> btop++ v.1.4.0
2025/02/08 (09:43:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (15:28:30) | ===> btop++ v.1.4.0
2025/02/08 (15:28:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (15:34:13) | ===> btop++ v.1.4.0
2025/02/08 (15:34:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (15:35:35) | ===> btop++ v.1.4.0
2025/02/08 (15:35:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (15:36:45) | ===> btop++ v.1.4.0
2025/02/08 (15:36:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (15:41:47) | ===> btop++ v.1.4.0
2025/02/08 (15:41:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (15:47:18) | ===> btop++ v.1.4.0
2025/02/08 (15:47:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (18:03:39) | ===> btop++ v.1.4.0
2025/02/08 (18:03:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (18:07:05) | ===> btop++ v.1.4.0
2025/02/08 (18:07:05) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (18:08:02) | ===> btop++ v.1.4.0
2025/02/08 (18:08:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (18:09:21) | ===> btop++ v.1.4.0
2025/02/08 (18:09:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (18:13:28) | ===> btop++ v.1.4.0
2025/02/08 (18:13:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/08 (22:42:47) | ===> btop++ v.1.4.0
2025/02/08 (22:42:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (17:26:20) | ===> btop++ v.1.4.0
2025/02/09 (17:26:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (20:09:57) | ===> btop++ v.1.4.0
2025/02/09 (20:09:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (21:57:12) | ===> btop++ v.1.4.0
2025/02/09 (21:57:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (22:21:58) | ===> btop++ v.1.4.0
2025/02/09 (22:21:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (22:24:42) | ===> btop++ v.1.4.0
2025/02/09 (22:24:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (22:37:27) | ===> btop++ v.1.4.0
2025/02/09 (22:37:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (22:38:09) | ===> btop++ v.1.4.0
2025/02/09 (22:38:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (22:41:16) | ===> btop++ v.1.4.0
2025/02/09 (22:41:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (23:13:42) | ===> btop++ v.1.4.0
2025/02/09 (23:13:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/09 (23:52:53) | ===> btop++ v.1.4.0
2025/02/09 (23:52:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (00:08:47) | ===> btop++ v.1.4.0
2025/02/10 (00:08:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (12:15:59) | ===> btop++ v.1.4.0
2025/02/10 (12:15:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (13:05:08) | ===> btop++ v.1.4.0
2025/02/10 (13:05:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (18:12:58) | ===> btop++ v.1.4.0
2025/02/10 (18:12:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (19:39:55) | ===> btop++ v.1.4.0
2025/02/10 (19:39:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (19:51:10) | ===> btop++ v.1.4.0
2025/02/10 (19:51:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/10 (21:46:42) | ===> btop++ v.1.4.0
2025/02/10 (21:46:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (16:19:31) | ===> btop++ v.1.4.0
2025/02/11 (16:19:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (21:27:10) | ===> btop++ v.1.4.0
2025/02/11 (21:27:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (21:58:25) | ===> btop++ v.1.4.0
2025/02/11 (21:58:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (21:58:28) | ===> btop++ v.1.4.0
2025/02/11 (21:58:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/11 (22:52:43) | ===> btop++ v.1.4.0
2025/02/11 (22:52:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (00:11:07) | ===> btop++ v.1.4.0
2025/02/12 (00:11:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (00:28:42) | ===> btop++ v.1.4.0
2025/02/12 (00:28:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (01:24:35) | ===> btop++ v.1.4.0
2025/02/12 (01:24:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (03:23:50) | ===> btop++ v.1.4.0
2025/02/12 (03:23:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (16:47:18) | ===> btop++ v.1.4.0
2025/02/12 (16:47:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (18:12:52) | ===> btop++ v.1.4.0
2025/02/12 (18:12:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (19:31:52) | ===> btop++ v.1.4.0
2025/02/12 (19:31:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (22:21:13) | ===> btop++ v.1.4.0
2025/02/12 (22:21:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (23:47:09) | ===> btop++ v.1.4.0
2025/02/12 (23:47:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (23:50:27) | ===> btop++ v.1.4.0
2025/02/12 (23:50:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (18:42:04) | ===> btop++ v.1.4.0
2025/02/13 (18:42:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (19:11:36) | ===> btop++ v.1.4.0
2025/02/13 (19:11:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (22:59:41) | ===> btop++ v.1.4.0
2025/02/14 (22:59:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (00:33:39) | ===> btop++ v.1.4.0
2025/02/15 (00:33:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (05:42:52) | ===> btop++ v.1.4.0
2025/02/15 (05:42:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (05:54:23) | ===> btop++ v.1.4.0
2025/02/15 (05:54:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (05:59:56) | ===> btop++ v.1.4.0
2025/02/15 (05:59:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (20:29:20) | ===> btop++ v.1.4.0
2025/02/17 (20:29:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (22:32:27) | ===> btop++ v.1.4.0
2025/02/17 (22:32:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (18:58:16) | ===> btop++ v.1.4.0
2025/02/18 (18:58:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (18:59:26) | ===> btop++ v.1.4.0
2025/02/18 (18:59:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/18 (22:17:14) | ===> btop++ v.1.4.0
2025/02/18 (22:17:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (11:09:49) | ===> btop++ v.1.4.0
2025/02/19 (11:09:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/19 (17:29:22) | ===> btop++ v.1.4.0
2025/02/19 (17:29:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/20 (01:50:12) | ===> btop++ v.1.4.0
